doc_uri,Aaron Keith III,Aaron Mills,Abigail Wong,Adam Ramirez,Adam Rogers,Adam Williams,Albert Paul,Alexis Levy,Alicia Garcia,Alicia Wiley,Alison Perry,Alyssa Burgess MD,Amy Dickerson,Amy Morris,Amy Rodriguez,Andrea Cochran,Andrea Smith,Andrea Tucker,Annette Green,Ashley Mcguire,Brian Hill,Brittany Anderson,Caitlin Washington,Calvin Estrada,Casey Perry,Charles Martin,Cindy Jones,Craig Leon,Cynthia Roach,Daniel Jones,Denise Reynolds,Dr. Ronald Thomas,Drew Williams,Eddie Reid,Emily Smith,Eric Moon,Erik Santana,Fernando Hinton,Hannah Galvan,James Fowler,James Johnson,Jason Moreno,Jeanette Bishop MD,Jennifer Oconnor,Jeremy Campbell,Jeremy Williamson,Jesse Richardson,Jon Lewis,Julie Bullock,Kaitlyn Leon,Karen Perez,Kathleen Valencia,Katrina Case MD,Kelly Smith,Kevin Sims,Kirk Gordon,Lauren Rogers,Linda Torres,Lisa Price,Lucas Boone,Mark Russell,Mary Rodriguez,Megan Chapman,Michael Green,Michelle Sellers,Mr. Tracy Aguilar,Mrs. Kayla Hill DDS,Ms. Tracy Cruz,Nancy Hughes,Nicholas Navarro,Nicholas Smith,Nicole Gay,Pamela Stone,Rachel Smith,Rita Perez,Ryan Wolfe,Sally Morgan,Samuel Hall,Sandra Smith,Scott Greene,Shannon Parrish,Stephanie Anderson,Stephanie Cox,Steven Martinez,Steven Russell,Summer Davis,Teresa Acosta,Teresa Bowman,Terry Lane,Terry Myers,Tina Fisher,Tonya Long,Travis Montgomery,Travis Montoya,Veronica Jackson,Veronica Walker,Victoria Perez,William Carpenter,William Vaughn,Zachary Miles
http://www.vargas.biz/login.php,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,
http://wallace-walker.info/index/,,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,
http://www.jimenez.biz/,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,-1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,
http://www.logan.com/about.html,1.0,,1.0,,,,,-1.0,,1.0,,1.0,,,,,-1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,-1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,1.0,,-1.0,,1.0
http://cox.org/list/tag/faq.html,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0
http://webb.com/wp-content/login/,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,
http://wilson.com/faq.htm,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,
https://www.wood.net/tags/blog/main.htm,1.0,,,,,,,1.0,-1.0,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,-1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,-1.0,,,,,1.0,,,,,1.0,,,,-1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,-1.0,
http://www.bowers.com/homepage/,,1.0,,,,,,-1.0,,,1.0,,,,,,-1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,-1.0,,,,,,,,,,-1.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,-1.0
http://watkins.com/list/category.php,,1.0,,,,,,1.0,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,-1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,-1.0,1.0,,,,,,,,1.0
http://mcdaniel.com/,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,-1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,-1.0,,,,,-1.0,,,,,,,,,,-1.0,,,,,,,,,,1.0,,1.0,,,,-1.0,,,,,,,,,,
https://davis.info/app/home.htm,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,-1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,-1.0,,1.0,-1.0,,1.0,1.0,,,,,-1.0,,,,,,,,,,,,
